result,fighter,opponent,f_kd,o_kd,f_str,o_str,f_td,o_td,f_sub,o_sub,weight_class,method,type,round,time,date,event_url
win,Jamahal Hill,Glover Teixeira,0,0,232,75,0,2,0,0,Light Heavyweight,U-DEC,,5,5:00,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Brandon Moreno,Deiveson Figueiredo,0,0,48,19,3,1,0,2,Flyweight,KO/TKO,,3,5:00,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Gilbert Burns,Neil Magny,0,0,5,4,1,0,1,0,Welterweight,SUB,Arm Triangle,1,4:15,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Jessica Andrade,Lauren Murphy,0,0,231,100,1,0,0,0,Women's Flyweight,U-DEC,,3,5:00,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Johnny Walker,Paul Craig,1,0,16,3,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,2:16,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Brunno Ferreira,Gregory Rodrigues,1,0,22,21,0,0,0,0,Middleweight,KO/TKO,Punch,1,4:13,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Thiago Moises,Melquizael Costa,0,0,22,23,4,0,1,0,Lightweight,SUB,Rear Naked Choke,2,4:05,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Jailton Almeida,Shamil Abdurakhimov,0,0,45,1,3,0,0,0,Heavyweight,KO/TKO,Punches,2,2:56,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Cody Stamann,Luan Lacerda,0,0,103,80,0,1,0,0,Bantamweight,U-DEC,,3,5:00,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Ismael Bonfim,Terrance McKinney,1,0,34,14,1,0,0,0,Lightweight,KO/TKO,Flying Knee,2,2:17,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Nicolas Dalby,Warlley Alves,0,0,119,66,0,1,0,0,Welterweight,S-DEC,,3,5:00,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Josiane Nunes,Zarah Fairn,0,0,102,117,0,0,0,0,Women's Featherweight,U-DEC,,3,5:00,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Gabriel Bonfim,Mounir Lazzez,0,0,9,9,0,0,1,0,Welterweight,SUB,Guillotine Choke,1,0:49,2023-01-21,http://ufcstats.com/event-details/5717efc6f271cd52
win,Umar Nurmagomedov,Raoni Barcelos,1,0,36,13,0,0,0,0,Bantamweight,KO/TKO,Punch,1,4:40,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Sean Strickland,Nassourdine Imavov,0,0,182,123,1,0,0,0,Light Heavyweight,U-DEC,,5,5:00,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Dan Ige,Damon Jackson,1,0,34,36,1,0,0,0,Featherweight,KO/TKO,Punch,2,4:13,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Roman Kopylov,Punahele Soriano,0,0,82,39,1,0,0,0,Middleweight,KO/TKO,Kick,2,3:19,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Raquel Pennington,Ketlen Vieira,0,0,81,64,0,0,0,0,Women's Bantamweight,S-DEC,,3,5:00,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Abdul Razak Alhassan,Claudio Ribeiro,1,0,17,19,0,0,0,0,Middleweight,KO/TKO,Punches,2,0:28,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Mateusz Rebecki,Nick Fiore,0,0,89,34,3,1,0,0,Lightweight,U-DEC,,3,5:00,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Allan Nascimento,Carlos Hernandez,0,0,6,3,2,0,1,0,Flyweight,SUB,Rear Naked Choke,1,3:16,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Dan Argueta,Nick Aguirre,0,0,47,14,4,0,2,1,Featherweight,U-DEC,,3,5:00,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Javid Basharat,Mateus Mendonca,0,0,95,29,3,2,0,0,Bantamweight,U-DEC,,3,5:00,2023-01-14,http://ufcstats.com/event-details/2e2cdb6e9eb84bb9
win,Michal Oleksiejczuk,Cody Brundage,0,0,15,0,0,3,0,0,Middleweight,KO/TKO,Punch,1,3:16,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Jared Cannonier,Sean Strickland,0,0,141,152,0,1,0,0,Middleweight,S-DEC,,5,5:00,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Arman Tsarukyan,Damir Ismagulov,0,0,34,36,7,0,0,0,Lightweight,U-DEC,,3,5:00,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Amir Albazi,Alessandro Costa,2,0,37,17,1,0,0,0,Flyweight,KO/TKO,Punch,3,2:13,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Alex Caceres,Julian Erosa,1,0,16,10,0,0,0,0,Featherweight,KO/TKO,Kick,1,3:04,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Drew Dober,Bobby Green,1,0,34,73,0,0,0,0,Lightweight,KO/TKO,Punch,2,2:45,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Matthew Semelsberger,Jake Matthews,3,0,45,32,3,1,0,1,Welterweight,U-DEC,,3,5:00,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Said Nurmagomedov,Saidyokub Kakhramonov,0,0,7,11,0,5,3,1,Bantamweight,SUB,Guillotine Choke,2,3:50,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Rafa Garcia,Maheshate,0,0,49,25,6,0,0,0,Lightweight,U-DEC,,3,5:00,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Rinat Fakhretdinov,Bryan Battle,1,0,43,3,7,0,0,0,Welterweight,U-DEC,,3,5:00,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Manel Kape,David Dvorak,1,0,58,33,0,2,2,0,Flyweight,U-DEC,,3,5:00,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Cory McKenna,Cheyanne Vlismas,0,0,22,33,2,0,0,1,Women's Strawweight,U-DEC,,3,5:00,2022-12-17,http://ufcstats.com/event-details/56ec58954158966a
win,Paddy Pimblett,Jared Gordon,0,0,63,60,0,3,0,0,Lightweight,U-DEC,,3,5:00,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Santiago Ponzinibbio,Alex Morono,1,1,66,38,0,0,0,0,Catch Weight                        KO/TKO              Punches              3              2:29,KO/TKO,Punches,3,2:29,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,TJ Brown,Erik Silva,0,0,24,21,2,3,1,0,Featherweight,SUB,Arm Triangle,3,3:41,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
draw,Jan Blachowicz,Magomed Ankalaev,0,0,55,78,0,2,0,0,Light Heavyweight,S-DEC,,5,5:00,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Ilia Topuria,Bryce Mitchell,1,0,40,36,0,1,1,0,Featherweight,SUB,Arm Triangle,2,3:10,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Dricus Du Plessis,Darren Till,0,0,86,35,6,1,3,0,Middleweight,SUB,Neck Crank,3,2:43,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Jairzinho Rozenstruik,Chris Daukaus,1,0,12,1,0,0,0,0,Heavyweight,KO/TKO,Punch,1,0:23,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Raul Rosas Jr.,Jay Perrin,0,0,3,4,2,0,2,0,Bantamweight,SUB,Neck Crank,1,2:44,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Edmen Shahbazyan,Dalcha Lungiambula,0,0,54,23,0,0,0,0,Middleweight,KO/TKO,Punches,2,4:41,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Chris Curtis,Joaquin Buckley,1,0,36,50,0,0,0,0,Middleweight,KO/TKO,Punch,2,2:49,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Billy Quarantillo,Alexander Hernandez,0,0,87,48,2,2,0,1,Featherweight,KO/TKO,Punches,2,4:30,2022-12-10,http://ufcstats.com/event-details/f65a0eb902f9476b
win,Eryk Anders,Kyle Daukaus,1,0,49,37,1,0,0,0,Middleweight,KO/TKO,Punches,2,2:45,2022-12-03,http://ufcstats.com/event-details/b23388ff8ac6637b
win,Stephen Thompson,Kevin Holland,0,0,163,119,0,2,0,0,Welterweight,KO/TKO,,4,5:00,2022-12-03,http://ufcstats.com/event-details/b23388ff8ac6637b
