fighter,event_url
Sean O'Malley,http://ufcstats.com/event-details/885e7f70dcac0007
Beneil Dariush,http://ufcstats.com/event-details/885e7f70dcac0007
Manon Fiorot,http://ufcstats.com/event-details/885e7f70dcac0007
Belal Muhammad,http://ufcstats.com/event-details/885e7f70dcac0007
Caio Borralho,http://ufcstats.com/event-details/885e7f70dcac0007
Nikita Krylov,http://ufcstats.com/event-details/885e7f70dcac0007
Abubakar Nurmagomedov,http://ufcstats.com/event-details/885e7f70dcac0007
Armen Petrosyan,http://ufcstats.com/event-details/885e7f70dcac0007
Muhammad Mokaev,http://ufcstats.com/event-details/885e7f70dcac0007
Alexa Grasso,http://ufcstats.com/event-details/49c29e57d4e2be6f
Jonathan Martinez,http://ufcstats.com/event-details/49c29e57d4e2be6f
Dusko Todorovic,http://ufcstats.com/event-details/49c29e57d4e2be6f
Raphael Assuncao,http://ufcstats.com/event-details/49c29e57d4e2be6f
Alonzo Menifield,http://ufcstats.com/event-details/49c29e57d4e2be6f
Mana Martinez,http://ufcstats.com/event-details/49c29e57d4e2be6f
Jacob Malkoun,http://ufcstats.com/event-details/49c29e57d4e2be6f
Joanderson Brito,http://ufcstats.com/event-details/49c29e57d4e2be6f
Piera Rodriguez,http://ufcstats.com/event-details/49c29e57d4e2be6f
Tatsuro Taira,http://ufcstats.com/event-details/49c29e57d4e2be6f
Yan Xiaonan,http://ufcstats.com/event-details/4f670b7972fa0a2e
Randy Brown,http://ufcstats.com/event-details/4f670b7972fa0a2e
Raoni Barcelos,http://ufcstats.com/event-details/4f670b7972fa0a2e
Sodiq Yusuff,http://ufcstats.com/event-details/4f670b7972fa0a2e
Mike Davis,http://ufcstats.com/event-details/4f670b7972fa0a2e
Daniel Santos,http://ufcstats.com/event-details/4f670b7972fa0a2e
Ilir Latifi,http://ufcstats.com/event-details/4f670b7972fa0a2e
Joaquim Silva,http://ufcstats.com/event-details/4f670b7972fa0a2e
Brendan Allen,http://ufcstats.com/event-details/4f670b7972fa0a2e
Chelsea Chandler,http://ufcstats.com/event-details/4f670b7972fa0a2e
Cory Sandhagen,http://ufcstats.com/event-details/8d477c3fbe001f9d
Gregory Rodrigues,http://ufcstats.com/event-details/8d477c3fbe001f9d
Andre Fili,http://ufcstats.com/event-details/8d477c3fbe001f9d
Joe Pyfer,http://ufcstats.com/event-details/8d477c3fbe001f9d
Rodrigo Nascimento,http://ufcstats.com/event-details/8d477c3fbe001f9d
Anthony Hernandez,http://ufcstats.com/event-details/8d477c3fbe001f9d
Damon Jackson,http://ufcstats.com/event-details/8d477c3fbe001f9d
Trevin Giles,http://ufcstats.com/event-details/8d477c3fbe001f9d
Loma Lookboonmee,http://ufcstats.com/event-details/8d477c3fbe001f9d
Trey Ogden,http://ufcstats.com/event-details/8d477c3fbe001f9d
Gillian Robertson,http://ufcstats.com/event-details/8d477c3fbe001f9d
Javid Basharat,http://ufcstats.com/event-details/8d477c3fbe001f9d
Nate Diaz,http://ufcstats.com/event-details/93bf96be327fcd98
Khamzat Chimaev,http://ufcstats.com/event-details/93bf96be327fcd98
Daniel Rodriguez,http://ufcstats.com/event-details/93bf96be327fcd98
Irene Aldana,http://ufcstats.com/event-details/93bf96be327fcd98
Johnny Walker,http://ufcstats.com/event-details/93bf96be327fcd98
Julian Erosa,http://ufcstats.com/event-details/93bf96be327fcd98
Jailton Almeida,http://ufcstats.com/event-details/93bf96be327fcd98
Denis Tiuliulin,http://ufcstats.com/event-details/93bf96be327fcd98
Chris Barnett,http://ufcstats.com/event-details/93bf96be327fcd98
Norma Dumont,http://ufcstats.com/event-details/93bf96be327fcd98
Alatengheili,http://ufcstats.com/event-details/93bf96be327fcd98
Elise Reed,http://ufcstats.com/event-details/93bf96be327fcd98
Ciryl Gane,http://ufcstats.com/event-details/00a905a4a4a2b071
Robert Whittaker,http://ufcstats.com/event-details/00a905a4a4a2b071
Nassourdine Imavov,http://ufcstats.com/event-details/00a905a4a4a2b071
Roman Kopylov,http://ufcstats.com/event-details/00a905a4a4a2b071
William Gomis,http://ufcstats.com/event-details/00a905a4a4a2b071
Nathaniel Wood,http://ufcstats.com/event-details/00a905a4a4a2b071
Abus Magomedov,http://ufcstats.com/event-details/00a905a4a4a2b071
Nasrat Haqparast,http://ufcstats.com/event-details/00a905a4a4a2b071
Fares Ziam,http://ufcstats.com/event-details/00a905a4a4a2b071
Benoit Saint Denis,http://ufcstats.com/event-details/00a905a4a4a2b071
Cristian Quinonez,http://ufcstats.com/event-details/00a905a4a4a2b071
Leon Edwards,http://ufcstats.com/event-details/4f853e98886283cf
Paulo Costa,http://ufcstats.com/event-details/4f853e98886283cf
Merab Dvalishvili,http://ufcstats.com/event-details/4f853e98886283cf
Lucie Pudilova,http://ufcstats.com/event-details/4f853e98886283cf
Tyson Pedro,http://ufcstats.com/event-details/4f853e98886283cf
Marcin Tybura,http://ufcstats.com/event-details/4f853e98886283cf
Jared Gordon,http://ufcstats.com/event-details/4f853e98886283cf
Sean Woodson,http://ufcstats.com/event-details/4f853e98886283cf
Ange Loosa,http://ufcstats.com/event-details/4f853e98886283cf
Amir Albazi,http://ufcstats.com/event-details/4f853e98886283cf
Aoriqileng,http://ufcstats.com/event-details/4f853e98886283cf
Marlon Vera,http://ufcstats.com/event-details/a23e63184c65f5b8
Nate Landwehr,http://ufcstats.com/event-details/a23e63184c65f5b8
Yazmin Jauregui,http://ufcstats.com/event-details/a23e63184c65f5b8
Azamat Murzakanov,http://ufcstats.com/event-details/a23e63184c65f5b8
Priscila Cachoeira,http://ufcstats.com/event-details/a23e63184c65f5b8
Gerald Meerschaert,http://ufcstats.com/event-details/a23e63184c65f5b8
Angela Hill,http://ufcstats.com/event-details/a23e63184c65f5b8
Martin Buday,http://ufcstats.com/event-details/a23e63184c65f5b8
Nina Nunes,http://ufcstats.com/event-details/a23e63184c65f5b8
Gabriel Benitez,http://ufcstats.com/event-details/a23e63184c65f5b8
Tyson Nam,http://ufcstats.com/event-details/a23e63184c65f5b8
Josh Quinlan,http://ufcstats.com/event-details/a23e63184c65f5b8
Jamahal Hill,http://ufcstats.com/event-details/8f6a18831a120817
Geoff Neal,http://ufcstats.com/event-details/8f6a18831a120817
Mohammed Usman,http://ufcstats.com/event-details/8f6a18831a120817
Juliana Miller,http://ufcstats.com/event-details/8f6a18831a120817
Serghei Spivac,http://ufcstats.com/event-details/8f6a18831a120817
Terrance McKinney,http://ufcstats.com/event-details/8f6a18831a120817
