fighter,fighter_url
Jairzinho Rozenstruik,http://ufcstats.com/fighter-details/2cd428e9606856fd
Chris Daukaus,http://ufcstats.com/fighter-details/d0aaedcf7ccd0b45
Edmen Shahbazyan,http://ufcstats.com/fighter-details/4144798612ef96e5
Dalcha Lungiambula,http://ufcstats.com/fighter-details/ce632027bf2a871b
Chris Curtis,http://ufcstats.com/fighter-details/5442f1bc4b47eaf3
Joaquin Buckley,http://ufcstats.com/fighter-details/b9437600497350f3
Billy Quarantillo,http://ufcstats.com/fighter-details/aa171d55d4b5208f
Alexander Hernandez,http://ufcstats.com/fighter-details/262a7d06203657e6
TJ Brown,http://ufcstats.com/fighter-details/d31cbcdd7d69536d
Erik Silva,http://ufcstats.com/fighter-details/21b813b919776d90
Cameron Saaiman,http://ufcstats.com/fighter-details/3c8a5200436e19f3
Steven Koslow,http://ufcstats.com/fighter-details/84512339473dd300
Stephen Thompson,http://ufcstats.com/fighter-details/4a28cb716c19157a
Kevin Holland,http://ufcstats.com/fighter-details/3a46b268013afede
Rafael Dos Anjos,http://ufcstats.com/fighter-details/6a2f7c151031653d
Bryan Barberena,http://ufcstats.com/fighter-details/a331233f597090a5
Matheus Nicolau,http://ufcstats.com/fighter-details/1a31ef98efce7a79
Matt Schnell,http://ufcstats.com/fighter-details/67c1d46f4ed16f9e
Sergei Pavlovich,http://ufcstats.com/fighter-details/f14cf73e51b29254
Tai Tuivasa,http://ufcstats.com/fighter-details/c62fbc117d57b943
Roman Dolidze,http://ufcstats.com/fighter-details/327d5f279895110d
Jack Hermansson,http://ufcstats.com/fighter-details/0a1942069c9ad6b6
Eryk Anders,http://ufcstats.com/fighter-details/cad24459b28592ca
Kyle Daukaus,http://ufcstats.com/fighter-details/d6c0cdd7e467c440
Phil Rowe,http://ufcstats.com/fighter-details/8e382b585a92affe
Niko Price,http://ufcstats.com/fighter-details/d8da10db80131bec
Angela Hill,http://ufcstats.com/fighter-details/f0feeb2192937424
Emily Ducote,http://ufcstats.com/fighter-details/02f8fedc18cbd26c
Clay Guida,http://ufcstats.com/fighter-details/c47df9303d318c67
Scott Holtzman,http://ufcstats.com/fighter-details/df1eb4354d18a906
Michael Johnson,http://ufcstats.com/fighter-details/511e82663651438d
Marc Diakiese,http://ufcstats.com/fighter-details/32c355b04fc57f3a
Jonathan Pearce,http://ufcstats.com/fighter-details/87c0b1c696ddfb43
Darren Elkins,http://ufcstats.com/fighter-details/92a9aa9c93192871
Natan Levy,http://ufcstats.com/fighter-details/a29db9cd4f9ccea5
Genaro Valdez,http://ufcstats.com/fighter-details/cda1099995b46cc2
Francis Marshall,http://ufcstats.com/fighter-details/5d495dec23d7c68e
Marcelo Rojo,http://ufcstats.com/fighter-details/2804ce8dadab5770
Yazmin Jauregui,http://ufcstats.com/fighter-details/40cb680ae1cd331f
Istela Nunes,http://ufcstats.com/fighter-details/efc67b07eed39794
Kennedy Nzechukwu,http://ufcstats.com/fighter-details/8667caa0451d245b
Ion Cutelaba,http://ufcstats.com/fighter-details/cd13728ae1151f46
Waldo Cortes-Acosta,http://ufcstats.com/fighter-details/fc08099550072fe4
Chase Sherman,http://ufcstats.com/fighter-details/01b352b6a9074d5c
